id,SourceURL,Label,LocalPath,CreatedDate
1,https://dermnetnz.org/assets/manualthumbnails/lesions/img/mel4-sm.jpg,MEL,SkinWarehouse/MEL_0_1225.jpg,2026-03-17 08:40:12
2,https://dermnetnz.org/assets/manualthumbnails/doctors/dermoscopy-course/images/mel-irreg2-sm.jpg,MEL,SkinWarehouse/MEL_1_2a13.jpg,2026-03-17 08:40:13
3,https://dermnetnz.org/assets/Uploads/doctors/lesions/images/acrolent.jpg,MEL,SkinWarehouse/MEL_2_0301.jpg,2026-03-17 08:40:13
4,https://dermnetnz.org/assets/Uploads/melanoma-abcds-23.jpg,MEL,SkinWarehouse/MEL_3_9dc4.jpg,2026-03-17 08:40:14
5,https://dermnetnz.org/assets/Uploads/alm-nail-1.jpg,MEL,SkinWarehouse/MEL_4_eff3.jpg,2026-03-17 08:40:14
6,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Melanoma/Amelanotic%20Melanoma/Amelanotic%20Nodular%20Melanoma/01_13.jpg,MEL,SkinWarehouse/MEL_0_bd30.jpg,2026-03-17 08:40:19
7,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Melanoma/Amelanotic%20Melanoma/01_14.jpg,MEL,SkinWarehouse/MEL_1_24bf.jpg,2026-03-17 08:40:21
8,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Melanoma/Amelanotic%20Melanoma/02_36.jpg,MEL,SkinWarehouse/MEL_2_5718.jpg,2026-03-17 08:40:23
9,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Melanoma/Amelanotic%20Melanoma/03_54.jpg,MEL,SkinWarehouse/MEL_3_0972.jpg,2026-03-17 08:40:25
10,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Melanoma/Amelanotic%20Melanoma/04_68.jpg,MEL,SkinWarehouse/MEL_4_a7b5.jpg,2026-03-17 08:40:27
11,https://dermnetnz.org/assets/Uploads/lesions/bcc1.jpg,BCC,SkinWarehouse/BCC_0_9711.jpg,2026-03-17 08:40:28
12,https://dermnetnz.org/assets/collection/Basal-cell-carcinoma/basal-cell-carcinoma-0019.jpg,BCC,SkinWarehouse/BCC_1_b336.jpg,2026-03-17 08:40:29
13,https://dermnetnz.org/assets/Uploads/lesions/w/bcc-104.jpg,BCC,SkinWarehouse/BCC_2_faf0.jpg,2026-03-17 08:40:29
14,https://dermnetnz.org/assets/Uploads/lesions/w/bcc-105.jpg,BCC,SkinWarehouse/BCC_3_21bb.jpg,2026-03-17 08:40:30
15,https://dermnetnz.org/assets/Uploads/lesions/bcc3.jpg,BCC,SkinWarehouse/BCC_4_bdd8.jpg,2026-03-17 08:40:30
16,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Basal%20Cell%20Carcinoma/01.jpg,BCC,SkinWarehouse/BCC_0_0827.jpg,2026-03-17 08:40:35
17,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Basal%20Cell%20Carcinoma/02_29.jpg,BCC,SkinWarehouse/BCC_1_848a.jpg,2026-03-17 08:40:37
18,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Basal%20Cell%20Carcinoma/03_47.jpg,BCC,SkinWarehouse/BCC_2_ad8b.jpg,2026-03-17 08:40:39
19,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Basal%20Cell%20Carcinoma/04_63.jpg,BCC,SkinWarehouse/BCC_3_32c1.jpg,2026-03-17 08:40:41
20,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Basal%20Cell%20Carcinoma/05.jpg,BCC,SkinWarehouse/BCC_4_496a.jpg,2026-03-17 08:40:43
21,https://dermnetnz.org/assets/Uploads/lesions/scc2.jpg,SCC,SkinWarehouse/SCC_0_ef83.jpg,2026-03-17 08:40:44
22,https://dermnetnz.org/assets/Uploads/lesions/scc8.jpg,SCC,SkinWarehouse/SCC_1_c589.jpg,2026-03-17 08:40:45
23,https://dermnetnz.org/assets/Uploads/lesions/scc9.jpg,SCC,SkinWarehouse/SCC_2_a813.jpg,2026-03-17 08:40:45
24,https://dermnetnz.org/assets/Uploads/lesions/w/scc-101.jpg,SCC,SkinWarehouse/SCC_3_f755.jpg,2026-03-17 08:40:46
25,https://dermnetnz.org/assets/Uploads/lesions/w/scc-100.jpg,SCC,SkinWarehouse/SCC_4_9b93.jpg,2026-03-17 08:40:46
26,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Squamous%20Carcinoma/01.jpg,SCC,SkinWarehouse/SCC_0_302e.jpg,2026-03-17 08:40:51
27,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Squamous%20Carcinoma/02.jpg,SCC,SkinWarehouse/SCC_1_309b.jpg,2026-03-17 08:40:53
28,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Squamous%20Carcinoma/03.jpg,SCC,SkinWarehouse/SCC_2_f5d4.jpg,2026-03-17 08:40:55
29,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Squamous%20Carcinoma/04.jpg,SCC,SkinWarehouse/SCC_3_43bd.jpg,2026-03-17 08:40:57
30,https://www.bccancer.bc.ca/skin-cancer-atlas-site/PublishingImages/Squamous%20Carcinoma/05.jpg,SCC,SkinWarehouse/SCC_4_7e92.jpg,2026-03-17 08:40:59
